nr,osoba,wynik,pozycja_w_kolejce,link,id,modele,wynik_bez_party_member,rejestr_io,partie,zatrudniony_od,posady,kandydatury
59,Krzysztof Wiesław Hećman,3.66,65,https://autopush.koryta.pl/osoba/JGmEE87LBdZ0OjDqn4Ex,JGmEE87LBdZ0OjDqn4Ex,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=3 pipeline-turnover=4,3.48,https://rejestr.io/osoby/815694,PSL,2024-10-11,"Rada Nadzorcza @ WARMIŃSKO-MAZURSKA AGENCJA ROZWOJU REGIONALNEGO SPÓŁKA AKCYJNA W OLSZTYNIE (KRS 0000014479, publiczna) 2015-07-07–2016-08-17; Zarząd @ MIEJSKIE WODOCIĄGI I KANALIZACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000192305, publiczna) 2024-10-11–nadal; Rada Nadzorcza @ ZAKŁAD GOSPODARKI KOMUNALNEJ W BARCIANACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000647199, publiczna) 2016-12-13–2019-03-29","2002 Samorząd KWW Kętrzyn 2000; 1994 Samorząd; 2006 Samorząd KWW KĘTRZYN - 2000; 1998 Samorząd Komitet Wyborczy ""Kętrzyn-2000""; 2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2002 Samorząd KWW Kętrzyn 2000 WYBRANY; 2011 Senat Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL PKW-deklaracja: członek partii Polskie Stronnictwo Ludowe; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW KĘTRZYN - 2000 PKW-deklaracja: członek Polskiego Stronnictwa Ludowego WYBRANY; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2007 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW KĘTRZYŃSKA WSPÓLNOTA SAMORZĄDOWA PKW-deklaracja: Polskie Stronnictwo Ludowe; 2002 Samorząd KWW KĘTRZYN 2000; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW KĘTRZYŃSKA WSPÓLNOTA SAMORZĄDOWA; 2024 Samorząd KWW KRZYSZTOFA HEĆMANA NASZE MIASTO KĘTRZYN WYBRANY; 2024 Samorząd KWW KRZYSZTOFA HEĆMANA NASZE MIASTO KĘTRZYN PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW KĘTRZYN - 2000 WYBRANY; 2006 Samorząd Komitet Wyborczy Wyborców KĘTRZYN - 2000"
60,Władysław Filar,3.65,66,https://autopush.koryta.pl/osoba/Onro7czQPUvJISMCozQj,Onro7czQPUvJISMCozQj,evidence=3 pipeline=4 pipeline-capture=5 pipeline-pagerank=3 pipeline-turnover=3,3.65,https://rejestr.io/osoby/3276351,PiS,2024-09-13,"Rada Nadzorcza @ SZPITAL SPECJALISTYCZNY CHORÓB PŁUC ""ODRODZENIE"" IM. KLARY JELSKIEJ (KRS 0000007565, publiczna) 2024-09-13–nadal","2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 1994 Samorząd; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 1998 Samorząd Komitet Wyborczy ""Koalicja Solidarni Ponad Podziałami"" - Dla rodziny, miasta, regionu.; 2002 Samorząd KW Klubu imienia Władysława Zamoyskiego w Zakopanem; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS"
61,Piotr Zygmunt Machaj,3.65,67,https://autopush.koryta.pl/osoba/ZWnR1Ss5uV9BEy3HCyyu,ZWnR1Ss5uV9BEy3HCyyu,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-together=1 pipeline-turnover=4,3.65,https://rejestr.io/osoby/2279364,SLD,2019-07-19,"Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000195605, publiczna) 2004-03-04–2007-03-23; Rada Nadzorcza @ PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI ""NYSA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000076200, publiczna) 2002-10-21–2003-05-07; Rada Nadzorcza @ CENTRUM SPORTOWO REKREACYJNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000096393, publiczna) 2019-07-19–2024-07-04","1998 Samorząd Komitet Wyborczy ""Centroprawica Ziemi Zgorzeleckiej Razem""; 2014 Samorząd Komitet Wyborczy Wyborców Ponad Podziałami; 2014 Samorząd Komitet Wyborczy Wyborców Ponad Podziałami; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW SAMORZĄD PONAD PODZIAŁAMI WYBRANY; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW POROZUMIENIE DLA WSI WYBRANY; 1994 Samorząd; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 2024 Samorząd KWW PONAD PODZIAŁAMI PKW-deklaracja: nie należy do partii politycznej WYBRANY; 2006 Samorząd Komitet Wyborczy Wyborców Porozumienie dla wsi"
62,Wiesława Krawczyk,3.64,68,https://autopush.koryta.pl/osoba/cRM6P3GUvPJCK5u4zsgV,cRM6P3GUvPJCK5u4zsgV,evidence=3 pipeline=4 pipeline-capture=3 pipeline-facts=4 pipeline-pagerank=3 pipeline-turnover=4,3.64,https://rejestr.io/osoby/1210728,"PSL, Polska 2050",2024-07-08,"Rada Nadzorcza @ SPECJALISTYCZNY SZPITAL WOJEWÓDZKI W CIECHANOWIE (KRS 0000008892, publiczna) 2019-08-13–2021-11-23; Rada Nadzorcza @ INSTYTUCJA FILMOWA ""MAX-FILM"" SPÓŁKA AKCYJNA (KRS 0000236457, publiczna) 2022-08-26–2024-03-14; Rada Nadzorcza @ MIĘDZYLESKI SZPITAL SPECJALISTYCZNY W WARSZAWIE (KRS 0000080872, publiczna) 2012-12-20–2016-11-22; Rada Nadzorcza @ MAZOWIECKI SZPITAL WOJEWÓDZKI IM. ŚW. JANA PAWŁA II W SIEDLCACH (KRS 0000336825, publiczna) 2024-07-08–nadal","2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 1998 Samorząd Komitet Wyborczy pn. ""Rodzina""; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL"
63,Czesław Alfred Kwaśniak,3.62,69,https://autopush.koryta.pl/osoba/0CtYvT2jxTYYc7M9TcRa,0CtYvT2jxTYYc7M9TcRa,evidence=4 pipeline=3 pipeline-capture=4 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=1 pipeline-turnover=4,3.44,https://rejestr.io/osoby/555785,"Konfederacja, PSL, Polska 2050",2024-06-19,"Rada Nadzorcza @ TARNOWSKI KLASTER PRZEMYSŁOWY (KRS 0000040960, prywatna/nieznana) 2021-05-17–2022-07-01; Rada Nadzorcza @ TARNOWSKIE WODOCIĄGI (KRS 0000085822, publiczna) 2003-07-08–2003-07-15; Rada Nadzorcza @ EURO-EKO (KRS 0000069701, publiczna) 2006-10-25–2013-07-31; Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000066997, publiczna) 2008-07-25–2013-06-27; Rada Nadzorcza @ MAŁOPOLSKA AGENCJA ROZWOJU REGIONALNEGO (KRS 0000033198, prywatna/nieznana) 2016-03-17–2018-04-10; Rada Nadzorcza @ AMW TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO ""KWATERA"" (KRS 0000140528, publiczna) 2024-06-19–nadal; Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE (KRS 0000076369, publiczna) 2022-08-30–2024-09-09; Rada Nadzorcza @ TARNOWSKA GRUPOWA OCZYSZCZALNIA ŚCIEKÓW (KRS 0000193191, prywatna/nieznana) 2004-02-10–2005-07-13",1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 2002 Samorząd KW Liga Polskich Rodzin; 2019 Sejm KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ partia: Konfederacja PKW-deklaracja: członek partii politycznej: Zjednoczenie Chrześcijańskich Rodzin; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI
64,Bogdan Marek Pęk,3.62,70,https://autopush.koryta.pl/osoba/KBIsuBFM00sRYowmBdvb,KBIsuBFM00sRYowmBdvb,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=1 pipeline-together=1 pipeline-turnover=3,3.44,https://rejestr.io/osoby/2135171,"PSL, PiS",2026-04-23,"Rada Nadzorcza @ MAŁOPOLSKI SZPITAL ORTOPEDYCZNO-REHABILITACYJNY IM. PROF.BOGUSŁAWA FRAŃCZUKA (KRS 0000038598, publiczna) 2025-06-25–nadal; Rada Nadzorcza @ BANK POCZTOWY (KRS 0000010821, prywatna/nieznana) 2016-10-28–2017-02-08; Rada Nadzorcza @ KRAKOWSKI SZPITAL SPECJALISTYCZNY IM. ŚW. JANA PAWŁA II (KRS 0000046052, publiczna) 2021-05-20–2025-05-09; Rada Nadzorcza @ ZAKŁAD WODOCIĄGÓW I KANALIZACJI (KRS 0000170072, publiczna) 2022-08-01–2026-06-24; Rada Nadzorcza @ SZPITAL MIEJSKI W RABCE-ZDROJU (KRS 0000280873, publiczna) 2026-04-23–nadal",2014 Parlament Europejski Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS PKW-deklaracja: członek partii Prawo i Sprawiedliwość; 2004 Parlament Europejski Komitet Wyborczy Liga Polskich Rodzin PKW-deklaracja: Liga Polskich Rodzin; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2009 Parlament Europejski Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2011 Senat Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS PKW-deklaracja: członek partii Prawo i Sprawiedliwość WYBRANY; 1991 Sejm Polskie Stronnictwo Ludowe Sojusz Programowy; 1997 Sejm Naczelny Komitet Wykonawczy Polskiego Stronnictwa Ludowego partia: PSL; 2001 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL PKW-deklaracja: Polskie Stronnictwo Ludowe; 1998 Samorząd Krajowy Komitet Wyborczy Przymierze Społeczne: PSL-UP-KPEiR partia: PSL; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 1993 Sejm Polskie Stronnictwo Ludowe
65,Janusz Stefan Mękarski,3.62,71,https://autopush.koryta.pl/osoba/jL8e1MimeXuQ4WuMEDPc,jL8e1MimeXuQ4WuMEDPc,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=1 pipeline-together=1 pipeline-turnover=4,3.44,https://rejestr.io/osoby/742099,PO,2025-04-25,"Rada Nadzorcza @ PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ W BEŁCHATOWIE (KRS 0000302235, publiczna) 2024-11-22–nadal; Zarząd @ ELMEN (KRS 0000211991, publiczna) 2025-04-25–nadal; Rada Nadzorcza @ SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE (KRS 0000006103, publiczna) 2012-04-03–2017-11-13; Zarząd @ ZAKŁAD WODOCIĄGÓW I KANALIZACJI ""WOD.-KAN."" (KRS 0000109360, publiczna) 2005-04-25–2008-02-26",2002 Samorząd KWW Porozumienie Platforma Sprawiedliwości; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO PKW-deklaracja: członek Platformy Obywatelskiej Rzeczypospolitej Polskiej; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2024 Samorząd KW EBE WSPÓLNIE DLA POWIATU
66,Bogdan Józef Mielnik,3.61,72,https://autopush.koryta.pl/osoba/BcI33MEDq7FZRIrlt6i4,BcI33MEDq7FZRIrlt6i4,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=1,3.37,https://rejestr.io/osoby/1240151,SLD,2005-02-14,"Rada Nadzorcza @ BOGATYŃSKIE WODOCIĄGI I OCZYSZCZALNIA (KRS 0000046613, publiczna) 2005-02-14–2007-01-03","2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 1998 Samorząd Blok Wyborczy ""Wspólnota Samorządowa""; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW WSPÓLNY POWIAT 2010+"
67,Marcin Podsędek,3.59,73,https://autopush.koryta.pl/osoba/aOrQWGZLG4J4i4o4K0xv,aOrQWGZLG4J4i4o4K0xv,evidence=4 pipeline=4 pipeline-capture=4 pipeline-facts=4 pipeline-pagerank=3 pipeline-succession=1 pipeline-turnover=3,3.44,https://rejestr.io/osoby/2546723,"PO, SLD",2026-07-30,"Rada Nadzorcza @ MAZOWIECKIE SPECJALISTYCZNE CENTRUM ZDROWIA IM. PROF. JANA MAZURKIEWICZA W PRUSZKOWIE (KRS 0000006607, publiczna) 2020-07-17–2023-01-23; Rada Nadzorcza @ ZAKŁAD WODOCIĄGÓW I KANALIZACJI W ŁOMIANKACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000234281, publiczna) 2022-04-07–2025-05-22; Rada Nadzorcza @ MAZOWIECKIE CENTRUM LECZENIA CHORÓB PŁUC I GRUŹLICY (KRS 0000080790, publiczna) 2026-07-30–nadal; Zarząd @ TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO WARSZAWA PÓŁNOC (KRS 0000019230, publiczna) 2019-06-06–nadal; Rada Nadzorcza @ SAMODZIELNY ZESPÓŁ PUBLICZNYCH ZAKŁADÓW OPIEKI ZDROWOTNEJ IM. DZIECI WARSZAWY W DZIEKANOWIE LEŚNYM (KRS 0000072265, publiczna) 2022-01-14–nadal",2005 Sejm Komitet Wyborczy Socjaldemokracji Polskiej; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW POROZUMIENIE ZIEMI SOCHACZEWSKIEJ WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców Porozumienie Ziemi Sochaczewskiej; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2015 Sejm Komitet Wyborczy Nowoczesna Ryszarda Petru; 2024 Parlament Europejski KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD
68,Błażej Konkol,3.59,74,https://autopush.koryta.pl/osoba/bUcDOCBEMEYYbCI7Z7Qv,bUcDOCBEMEYYbCI7Z7Qv,evidence=4 pipeline=5 pipeline-capture=2 pipeline-facts=4 pipeline-pagerank=2 pipeline-turnover=3,3.44,https://rejestr.io/osoby/1314645,,2026-04-24,"Zarząd @ POMORSKA SPECJALNA STREFA EKONOMICZNA (KRS 0000033744, publiczna) 2024-11-20–2026-04-24; Zarząd @ ZARZĄD MORSKIEGO PORTU GDAŃSK (KRS 0000040398, publiczna) 2026-04-24–nadal","2014 Samorząd Komitet Wyborczy Wyborców Samorządność Gminy Trąbki Wielkie; 2006 Samorząd KWW Tu jest Nasz Wspólny Dom; 1998 Samorząd Komitet Wyborczy ""Nasze Osiedle""; 2024 Samorząd KWW SAMORZĄDNOŚĆ GMINY TRĄBKI WIELKIE PKW-deklaracja: nie należy do partii politycznej; 2002 Samorząd KWW Tu Jest Nasz Dom WYBRANY; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW SAMORZĄDNOŚĆ GMINY TRĄBKI WIELKIE WYBRANY; 2001 Sejm Koalicyjny Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy PKW-deklaracja: członek RS AWS; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW TU JEST NASZ WSPÓLNY DOM WYBRANY"
69,Henryk Stanisław Matej,3.59,75,https://autopush.koryta.pl/osoba/sZ4lMNDQDNvMIXQCnVe4,sZ4lMNDQDNvMIXQCnVe4,evidence=4 pipeline=4 pipeline-capture=4 pipeline-pagerank=2 pipeline-turnover=3,3.41,https://rejestr.io/osoby/1251668,PSL,2019-08-30,"Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZEBRZESZYNIE (KRS 0000008301, publiczna) 2019-08-30–nadal",1998 Samorząd Naczelny Komitet Wykonawczy Polskiego Strinnictwa Ludowego; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2007 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW HENRYKA MATEJA PKW-deklaracja: członek Polskiego Stronnictwa Ludowego; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW HENRYKA MATEJA PKW-deklaracja: PSL WYBRANY
70,Maciej Żmuda,3.58,76,https://autopush.koryta.pl/osoba/DP8Z4p3n0uB198tSxSp3,DP8Z4p3n0uB198tSxSp3,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-turnover=3,3.58,https://rejestr.io/osoby/2769750,PO,2025-11-17,"Rada Nadzorcza @ WOJEWÓDZKA PRZYCHODNIA STOMATOLOGICZNA IM. DR. N. MED. ZBIGNIEWA ŻAKA W KRAKOWIE (KRS 0000002532, publiczna) 2025-11-17–nadal",2015 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO
71,Tomasz Araszkiewicz,3.58,77,https://autopush.koryta.pl/osoba/GqFRf5iIVcXJmALjGohF,GqFRf5iIVcXJmALjGohF,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=2,3.32,https://rejestr.io/osoby/1406727,PO,2022-01-19,"Zarząd @ MAZOWIECKI SZPITAL WOJEWÓDZKI IM. ŚW. JANA PAWŁA II W SIEDLCACH (KRS 0000336825, publiczna) 2022-01-19–nadal",2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW LEPSZE SIEDLCE; 2024 Parlament Europejski KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2024 Samorząd KWW BEZPARTYJNE SIEDLCE KOALICJA OBYWATELSKA WYBRANY; 2023 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP
72,Jerzy Stachyra,3.58,78,https://autopush.koryta.pl/osoba/i6em1TDFhxwTKhwgLr8o,i6em1TDFhxwTKhwgLr8o,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=2,3.32,https://rejestr.io/osoby/905805,"PO, PiS",2026-08-04,"Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W BOGATYNI (KRS 0000056231, publiczna) 2026-08-04–nadal",2018 Samorząd KOMITET WYBORCZY WYBORCÓW BOGATYNIA ODNOWA; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW BOGATYNIA ODNOWA; 2015 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2023 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2011 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS PKW-deklaracja: członek partii Prawo i Sprawiedliwość
73,Julian Jokś,3.58,79,https://autopush.koryta.pl/osoba/oscLQZMDbn4OZcoTgMKc,oscLQZMDbn4OZcoTgMKc,evidence=4 pipeline=4 pipeline-capture=5 pipeline-pagerank=1 pipeline-succession=1 pipeline-together=2 pipeline-turnover=3,3.40,https://rejestr.io/osoby/1399722,PSL,2021-01-28,"Rada Nadzorcza @ ZWIĄZEK MIAST POLSKICH (KRS 0000069153, prywatna/nieznana) 2011-06-13–2016-05-24; Zarząd @ ZWIĄZEK MIAST POLSKICH (KRS 0000069153, prywatna/nieznana) 2007-06-06–2011-06-13; Rada Nadzorcza @ POZNAŃSKI OŚRODEK ZDROWIA PSYCHICZNEGO (KRS 0000002648, publiczna) 2021-01-28–nadal","1994 Samorząd; 1998 Samorząd Komitet Wyborczy ""Ziemia Krotoszyńska""; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2006 Samorząd KWW SPL; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2006 Samorząd Komitet Wyborczy Wyborców Samorządowe Porozumienie Ludowe; 2001 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL PKW-deklaracja: członek Polskiego Stronnictwa Ludowego; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek Polskiego Stronnictwa Ludowego WYBRANY; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL WYBRANY"
74,Ewa Zdrojewska,3.57,80,https://autopush.koryta.pl/osoba/BkxhvfzzNBEyi3SFo4SG,BkxhvfzzNBEyi3SFo4SG,evidence=3 pipeline=4 pipeline-capture=3 pipeline-pagerank=3 pipeline-together=1 pipeline-turnover=4,3.57,https://rejestr.io/osoby/509482,,2020-03-11,"Rada Nadzorcza @ SANATORIA DOLNOŚLĄSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000128228, publiczna) 2020-03-11–nadal; Rada Nadzorcza @ WROCŁAWSKA AGENCJA ROZWOJU REGIONALNEGO SPÓŁKA AKCYJNA (KRS 0000055657, prywatna/nieznana) 2019-03-28–2020-04-16",2019 Sejm KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY PKW-deklaracja: nie należy do partii politycznej; 2023 Sejm KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY PKW-deklaracja: nie należy do partii politycznej; 2024 Samorząd KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”; 2014 Samorząd Komitet Wyborczy Wyborców BEZPARTYJNI SAMORZĄDOWCY; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY
75,Krzysztof Bałdyga,3.57,81,https://autopush.koryta.pl/osoba/MoE2p6W1VWsNI9nmfvYt,MoE2p6W1VWsNI9nmfvYt,evidence=4 pipeline=3 pipeline-capture=2 pipeline-pagerank=3 pipeline-turnover=5,3.38,https://rejestr.io/osoby/471546,PSL,2019-10-10,"Rada Nadzorcza @ OSTROŁĘCKIE TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000052950, publiczna) 2019-10-10–2022-04-12; Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""MEDITRANS OSTROŁĘKA"" STACJA POGOTOWIA RATUNKOWEGO I TRANSPORTU SANITARNEGO W OSTROŁĘCE (KRS 0000078731, publiczna) 2019-06-06–2023-05-16; Rada Nadzorcza @ MAZOWIECKI SZPITAL SPECJALISTYCZNY IM.DR.JÓZEFA PSARSKIEGO W OSTROŁĘCE (KRS 0000147508, publiczna) 2019-05-21–nadal","2014 Samorząd Komitet Wyborczy Wyborców „Nasza Ostrołęka""; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2002 Samorząd KW Towarzystwa Przyjaciół Ostrołęki; 2011 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL PKW-deklaracja: członek partii Polskie Stronnictwo Ludowe; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL"
